Latitude,Longitude,Inspection_Date,Year,day_of_year,mean_varroa,n,x_km,y_km,TrapezoidAverage,SpringFloral,SummerFloral,FallFloral,Nesting,Insecticide,n_colonies_5km,Monitor_prox,Treat_prox,Fed_Solid,Fed_Syrup,Fed_pollen
39.5097,-87.7888,2018-07-13T00:00:00Z,2018,194,3.5,2,161.82962794263597,-44.29472016016726,81.59084570043883,43.031440539697066,44.853328957776434,30.450505587750484,36.88629269370867,220.02820233132368,7,1,1,1,1,1
39.518,-90.0673,2019-07-26T00:00:00Z,2019,207,3,3,-34.106577012598514,-42.07887975156348,66.6484725491133,28.81693076258108,40.0737861459549,24.63512184340148,22.711722465316043,349.77078596268484,6,0,0,0,1,0
39.553051,-89.84149900000001,2018-06-15T00:00:00Z,2018,166,7.5,4,-14.623435420835769,-38.53683860656037,51.03033459617333,17.211225790083077,33.68736816559995,17.46920782491381,13.809777800024143,643.8164115563973,1,0,0,0,1,0
39.578196000000005,-89.976311,2018-08-13T00:00:00Z,2018,225,9.5,4,-26.159796298414907,-35.541973984553074,65.63339226949854,28.04346275456267,39.29263578314768,24.645357804911335,23.157914136601786,424.00036947937554,5,0,NA,0,1,1
39.578746,-90.151539,2019-06-26T00:00:00Z,2019,177,14.5,4,-41.214549456030014,-35.19107512481319,67.39562637400402,29.57027653633586,40.20785074616254,25.295528905793255,23.147284546593095,321.51997540708794,4,1,0,1,0,1
39.58606,-89.646175,2018-07-12T00:00:00Z,2018,193,7,1,2.2183290059629943,-35.13511249025847,59.331562903672655,22.969650473465983,37.22615630407975,21.24209628994074,17.162379029271076,485.9012268050398,3,1,1,1,1,0
39.58606,-89.646174,2018-07-12T00:00:00Z,2018,193,0,1,2.2184149153495674,-35.13511374486488,59.33159198826318,22.96967833180426,37.226174811767194,21.242100939745285,17.162378654514782,485.8996803131623,3,1,1,1,1,0
39.58606,-89.646173,2018-07-12T00:00:00Z,2018,193,5,1,2.218500824737188,-35.135114999469835,59.331634011906104,22.969714166270467,37.22619331975589,21.24211361065941,17.162378280334963,485.8981337901888,3,1,1,1,1,0
39.58606,-89.64617199999999,2018-07-12T00:00:00Z,2018,193,5,1,2.2185867341248087,-35.135116254073395,59.33167603968888,22.96975529665344,37.22621182815688,21.242147187670536,17.162377907157037,485.89658725084104,3,1,1,1,1,0
39.59045,-91.04372,2018-05-23T00:00:00Z,2018,143,1.2,1,-117.8378258016285,-31.960006003201705,86.24482319092171,48.41498493786863,45.812102834642474,32.53359767798391,43.82399618797636,230.9854467596429,3,0,NA,0,1,0
